"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: calc","Param: dimension","Param: vectorsCount"
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,4.615717,0.124444,"us/op",VectorApi,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,10.288345,1.515274,"us/op",VectorApi,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,1.743946,0.104844,"us/op",VectorApi,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,7.202176,0.067516,"us/op",VectorApi,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,16.894679,0.274201,"us/op",VectorApi,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,4.162345,0.037390,"us/op",VectorApi,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,16.033923,0.161563,"us/op",VectorApi,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,28.517454,1.963215,"us/op",VectorApi,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,23.113849,0.554656,"us/op",NativeJni,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,57.857863,4.018203,"us/op",NativeJni,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,120.982954,7.337516,"us/op",NativeJni,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,31.254287,2.602406,"us/op",NativeJni,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,83.259776,1.700224,"us/op",NativeJni,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,177.214281,11.199357,"us/op",NativeJni,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,71.334545,0.688329,"us/op",NativeJni,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,180.764777,8.800842,"us/op",NativeJni,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,371.930267,2.335362,"us/op",NativeJni,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,1.454062,0.063558,"us/op",NativePanama,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,3.824623,0.217541,"us/op",NativePanama,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,9.010220,1.416863,"us/op",NativePanama,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,1.970080,0.031479,"us/op",NativePanama,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,5.747460,0.057870,"us/op",NativePanama,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,11.799140,0.223453,"us/op",NativePanama,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,3.578183,0.235833,"us/op",NativePanama,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,10.720404,0.829817,"us/op",NativePanama,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,19.636696,0.843876,"us/op",NativePanama,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,591.508254,1.873242,"us/op",PlainJava,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,3777.523109,12.478279,"us/op",PlainJava,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,15367.870259,89.359100,"us/op",PlainJava,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,941.026554,3.531218,"us/op",PlainJava,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,6100.174546,27.512203,"us/op",PlainJava,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,24459.908237,53.787942,"us/op",PlainJava,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,2030.635790,3.607855,"us/op",PlainJava,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,12843.485737,23.989863,"us/op",PlainJava,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,51469.298521,164.075256,"us/op",PlainJava,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,269.450724,2.217107,"us/op",VectorApi,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,1700.550438,13.738475,"us/op",VectorApi,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,6993.694749,8.551646,"us/op",VectorApi,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,383.341251,0.982296,"us/op",VectorApi,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,2462.317297,1.461586,"us/op",VectorApi,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,10075.921238,8.733275,"us/op",VectorApi,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,737.075308,1.026118,"us/op",VectorApi,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,4709.343681,7.338321,"us/op",VectorApi,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,19156.826248,60.945695,"us/op",VectorApi,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,57.852587,3.028645,"us/op",NativeJni,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,348.583871,1.854756,"us/op",NativeJni,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,1368.970987,52.891162,"us/op",NativeJni,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,104.961953,0.161911,"us/op",NativeJni,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,463.815797,11.460973,"us/op",NativeJni,384,250
